data,type
Which property of an object is identified using the sense of smell? ,question
Which type of energy is needed to cut a piece of wood into smaller pieces with a saw? ,question
Which material is the best conductor of electricity? ,question
What force causes objects to be pulled toward Earth? ,question
"When a rock is placed in a graduated cylinder containing water, the height of the water will ",question
Which energy transformation occurs when a person hits a drum with a drumstick? ,question
A magnet and a metal paper clip have the strongest magnetic attraction when the distance between them is ,question
A student rubs her hands together on a cold winter day. The heat that warms her hands is produced by ,question
Which property of a rubber band will stay the same when it is stretched? ,question
Precipitation is most likely to occur when the sky ,question
In which state of matter does water have a definite shape and volume? ,question
"In order to survive, all animals need ",question
Which part of a plant takes in water and nutrients from the soil? ,question
Which physical change would most likely help an animal survive during the winter? ,question
The leaves of a tree change color in the fall. This is an example of a tree ,question
One role of a producer in a food chain is to provide ,question
Which sequence shows the life cycle of some insects? ,question
What is the major source of energy for food chains? ,question
Which statement is an example of how humans have changed the natural environment? ,question
Some birds fly south in the fall and return in the spring. This is an example of ,question
Which statement is an example of an inherited trait in a living thing? ,question
Which property of an object allows it to bend? ,question
A ball is thrown up into the air. Which force causes the ball to fall to the ground? ,question
Which form of energy is produced when a guitar string vibrates? ,question
"A toy truck rolls over a smooth surface. If the surface is covered with sand, the truck will most likely roll ",question
A student rubs his hands together to warm them. His hands get warm due to ,question
The Sun is classified as ,question
About how long does it take for Earth to make one revolution around the Sun? ,question
"When a lightbulb is lit, electrical energy is changed into light energy and ",question
Which tool would be most useful for observing the details of an insect's wings? ,question
"As the distance between a magnet and a metal paper clip increases, the force of attraction between them ",question
Which behavior will best help a student stay healthy? ,question
Which two life processes occur in both plants and humans? ,question
A student places soil in a plastic container to make a home for some worms. The student cuts holes in the top of the container because the worms need ,question
"As children grow, their body height usually ",question
Which human response is most likely to occur because the air temperature is 90°F? ,question
Plants are producers because they ,question
Why do some animals hibernate in the winter? ,question
A male puppy inherits traits from ,question
Which two environmental changes usually cause certain animals to migrate? ,question
The function of a plant’s roots is to take in ,question
The energy that is stored in food originally comes from ,question
"When two animals live in the same area and depend on the same organism for food, they are ",question
A boy and his sister both play piano. Playing piano is an example of ,question
"A student performed this experiment: Four different types of seeds were planted in identical pots filled with the same kind and amount of soil. The pots were placed in a warm, sunny place and were given the same amount of water each day for a month. Which question about these seeds could be answered at the end of the month? ",question
Which object has the greatest flexibility? ,question
A definite shape and a definite volume are properties of which state of matter? ,question
Which Earth movement results in day and night? ,question
Which tool should a student use to see the patterns on a small object? ,question
Which terms are both used to describe the weather? ,question
Which metric units should be used to describe the mass of an object? ,question
"When a cup of water at room temperature is put in a freezer, the water's state of matter will change from ",question
Which form of energy is produced when paper is burned? ,question
Gravity and magnetism are both ,question
At approximately which time of day is the Sun at the highest point in the sky to an observer in New York State? ,question
Which property of an object describes how easily electricity travels through it? ,question
During which process are pieces of rock material being moved over Earth’s surface by water and wind? ,question
Which factor will cause a decrease in the force of attraction between two magnets? ,question
"In order to maintain good health, humans should ",question
Which characteristic helps some animals defend themselves against predators? ,question
The main function of a fish’s fins is to help the fish ,question
"When ocean waters become too warm, some whales travel to colder water. This movement is an example of ",question
Green plants get the energy they need to make food from ,question
Which three things do animals need from their environment in order to survive? ,question
Which two processes are common to all living things? ,question
Trees start as seeds and grow into mature trees that produce more seeds. This pattern represents a ,question
Which is an example of a nonliving thing? ,question
Three identical seeds are planted and grown in identical pots of soil. All three pots receive equal amounts of sunlight. The plants are watered once each day. Plant A is given 10 milliliters (mL) of water. Plant B is given 20 mL of water. Plant C is given 30 mL of water. The height of each plant is measured and recorded after ten days. Which question could be answered by this experiment? ,question
Which of the following groups of materials would most likely be used to build an electromagnet? ,question
A bird has just hatched from an egg. Which of the following stages most likely comes next in the life cycle of the bird? ,question
Which of the following best describes a mineral? ,question
"While hiking last year, Mike saw a large boulder next to a mountain trail. The boulder had no cracks. While hiking on the trail this year, he saw two large cracks in the boulder. Which of the following most likely caused these cracks to form? ",question
A student freezes some orange juice. Which of the following statements best describes how the orange juice is different after it is frozen? ,question
Which of the following data would be most useful for describing the climate of a specific area? ,question
"One type of animal hatches from an egg, breathes through gills when it is young, and mainly lives on land as an adult. Into which group is this animal classified? ",question
During which stage of its life cycle does a butterfly spend the most time eating plant leaves? ,question
"An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first ",question
Which of the following is a reason loggerhead turtles bury their eggs in holes that they dig on the beach? ,question
Which of the following statements best describes a complex machine? ,question
"Cameron is shopping for a new desk. He wants to make sure the desk will fit in the corner of his room.When Cameron shops for the new desk, which of the following will best help him make sure that the desk will fit? ",question
Which part of a plant is most responsible for using energy from the Sun to produce food for the plant? ,question
