data,type
Man swiftly riding a horse.,sentence
A batter playing cricket missed the ball and the person behind him is catching it.,sentence
A cricket player misses the pitch.,sentence
The three men are playing cricket.,sentence
Man grooms a tree while a child helps him.,sentence
People walk on a sidewalk beside a building that has graffiti on the brick wall.,sentence
Street vendors serve passer-by's in the city.,sentence
People are walking up and down the streets.,sentence
The woman with blue hair has a green scarf tied around her head.,sentence
Woman with blue hair at a large gathering.,sentence
"Man with black suit on, on some type of glider in ocean, attached to parachute.",sentence
"Two women, one wearing blue clothing and the other wearing an orange skirt and white shirt, are standing in high grass as one holds a camera.",sentence
"A woman holding a camera and another woman, both with long flowing dresses, look into the distant on a riverbank.",sentence
"Two women are standing in a wet marsh looking at a tree, there is very long grass surrounding them.",sentence
Two Indian ladies photograph the long green grass outdoors of their native land.,sentence
"Two men, in the woods, cook something in a can over an open fire.",sentence
Two men are preparing dinner over a fire with tin cans.,sentence
A man and a woman can prepare meals at camp together.,sentence
Two man are outdoors cooking over an open fire.,sentence
"Two women, one in a blue halter top and the other a pink shirt, enjoy some beer.",sentence
"Two women sitting down at a party, drinking large glasses of beer.",sentence
Two women enjoying drinks and each other's company at a bar.,sentence
Two happy looking women beside alcoholic beverages.,sentence
A girl with long pigtails and a barbie bag touching the orange poles along with other little girls wearing a white shirt and blue shorts.,sentence
Several children in white shirts run their fingers through a railing.,sentence
Three little children playing behind bars,sentence
Young girls leaving school,sentence
"One standing man and one seated man in a concrete block alley on cellphones, both wearing fitted caps and loose-fitting khaki clothing.",sentence
Two men are talking on their cellphones while in an alleyway.,sentence
Two African men mind their own business.,sentence
Two middle eastern men on cellphones.,sentence
"Two construction workers working on infrastructure, while one worker takes a break.",sentence
One man is shirtless while the other two men work on construction,sentence
Three male construction workers on a roof working in the sun.,sentence
Three men are working construction on top of a building.,sentence
Surfer in black wetsuit falling off his board into the water.,sentence
A surfer is falling into a big ocean wave,sentence
A surfer flies over a crashing wave.,sentence
The surfer is wiped out by the wave.,sentence
A woman is holding her child while a man is reading something from a piece of paper and taking something from a bowl that a younger girl is holding in a park with a small lake in the background.,sentence
"Woman wearing brown sandals and blue jeans, in a white shirt, holding a baby under a tall tree.",sentence
A small group of people meeting together at a tree by water.,sentence
A family is standing under a very large tree.,sentence
"A girl in a blue dress, wearing a blue sweater, hanging out in a tree.",sentence
A girl in a blue school uniform climbs a tree and stops for a picture.,sentence
Girl in school outfit atop a tree.,sentence
A schoolgirl climbing a tree.,sentence
Blond woman in black cycling outfit and bicycle helmet getting on a ten speed bike.,sentence
"Blond bicyclist wearing a helmet and pink goggles, looks down.",sentence
A female wearing bicycle racing gear and a helmet is on a bike.,sentence
A woman in black and white is on a bicycle.,sentence
A little girl in a swimsuit on the beach at the edge of the water between large rocks .A woman with.,sentence
A young girl in an orange bathing suit plays on the beach's shore.,sentence
Child in bathing suite walking towards water on beach.,sentence
Girl in bathing suit near a rocky shore.,sentence
A woman wearing a red and black striped dress is standing next to two women on a sidewalk.,sentence
Three girls are chatting and waiting in front of the parking lot.,sentence
Teenage girls are gathered near a wall in a city.,sentence
Three younger women sit outside and have a chat.,sentence
Little boy who is playing in the sand.,sentence
A bald man wearing all black waits for the subway and so does another man who is leaning on a pillar.,sentence
A man holds a blue notebook while he waits on the train platform.,sentence
An elderly man is standing on the edge of a train platform.,sentence
Two men wait for the subway.,sentence
"A group of people are standing at the front of the room, preparing to sing.",sentence
A group of women with black binders stand in front of a group of people.,sentence
Woman standing in front of group with black folders in hand.,sentence
A group of individuals performed in front of a seated crowd.,sentence
An older man in a red sweatshirt stands in front of a group of children sitting on benches in front of him.,sentence
"Four boys, one on a skateboard, one on a scooter, and two standing, are at a skate park on a ramp with a scary looking face graffiti on it.",sentence
"At a skate park one man skateboards, one rides a scooter and 2 men record the skateboarder from below and above him.",sentence
Five people walk through the snow wearing exotic clothes.,sentence
A family in colorful clothing walking in the snow.,sentence
A middle eastern family is walking,sentence
Four men in purple shirts and two in dark gray moving a sculpture.,sentence
A group of men place a chicken foot statue in its setting.,sentence
Some men are trying to place a statue down on the ground,sentence
Bagpiper on the street of a city.,sentence
Six casually dressed people watch from the comfort and protection of a wooden rail while a restaurant employee stands in the background.,sentence
A group of six people are standing next to a white fence.,sentence
Six people stand at the railing at the El Tambor.,sentence
Crowd of people standing near a bench.,sentence
A yellow Labrador running with its ears flopping.,sentence
This dog is running along the path.,sentence
The brown dog is running.,sentence
People are sitting at tables and some are looking at a dog balloon.,sentence
Several people sitting outside around a Dalmatian balloon.,sentence
These people are sitting outside on a sunny day.,sentence
People sit outside a tea house on a nice day.,sentence
Man reads to his son while mother spends time with the other child on the sofa.,sentence
Two men in restaurant uniforms pose for a picture.,sentence
Two men both with dark hair wearing striped vests.,sentence
Two young men wearing matching clothing smiling.,sentence
Two guys are wearing matching uniforms.,sentence
"A boy in a red plaid button-up shirt playing a guitar, with another boy playing an orange bass behind him, and another person playing a drum set.",sentence
"Two men rehearsing, one wearing a checker broad sweater and the other playing a orange guitar.",sentence
A group of young adults come together to perform song complete with drums and a guitar.,sentence
Young men perform in a band indoors.,sentence
A man walking past a lamp post with a sign saying 'no dogs allowed'.,sentence
A man is walking by a pole with a no pets sign.,sentence
A man talks on his cellphone in private.,sentence
Man taking a walk by himself.,sentence
Two little dogs are lying on the green grass and a larger dog looks down on them.,sentence
A large orange dog and a little orange dog with another third dog in the grass.,sentence
Three dogs sniffing each other.,sentence
Two dogs and a puppy.,sentence
Indian girl with her mom praying or performing a ritual,sentence
